"project_id","org_name"
"50122","Agricultural Coalitions:..."
"50122","SJCDWQC"
"49780","Anchor QEA"
"49780","SFSU"
"49780","USFWS"
"49780","DWR"
"50084","DWR"
"50084","USFWS"
"50107","DWR"
"50107","USFWS"
"50109","DWR"
"50109","USFWS"
"50141","DWR"
"50141","USFWS"
"50147","DWR"
"50147","USFWS"
"50148","DWR"
"50148","USFWS"
"50164","DWR"
"50164","USFWS"
"50176","DWR"
"50176","USFWS"
"50208","DWR"
"50208","USFWS"
"50210","DWR"
"50210","USFWS"
"49865","Anchor QEA"
"49865","USGS"
"49865","SWC"
"49860","Bachand and Associates"
"49860","Hydrofocus Inc."
"49860","LBNL"
"49860","RMA"
"49860","UCLA"
"50091","BTS"
"50091","USACE"
"50170","CalFish"
"50170","CDFW"
"50182","DOC"
"50182","USDA"
"49781","CDFW"
"49781","EcoMetric Consulting"
"49781","ICF International Inc."
"50215","CDFW"
"50215","ICF International Inc."
"49781","RMA"
"49781","SWC"
"49781","UC Davis"
"49782","CDFW"
"49782","UC Davis"
"49783","CDFW"
"49783","UC Davis"
"49797","CDFW"
"49797","UC Davis"
"49807","CDFW"
"49807","UC Davis"
"49812","CDFW"
"49812","UC Davis"
"49873","CDFW"
"49873","UC Davis"
"50093","CDFW"
"50093","UC Davis"
"50145","CDFW"
"50145","UC Davis"
"50210","CDFW"
"50210","UC Davis"
"50215","UC Davis"
"49781","USBR"
"49782","USBR"
"49783","USBR"
"49937","CDFW"
"49937","USBR"
"49954","CDFW"
"49954","USBR"
"50077","CDFW"
"50077","USBR"
"50138","CDFW"
"50138","USBR"
"50141","CDFW"
"50141","USBR"
"50147","CDFW"
"50147","USBR"
"50148","CDFW"
"50148","USBR"
"50151","CDFW"
"50151","USBR"
"50153","CDFW"
"50153","USBR"
"50164","CDFW"
"50164","USBR"
"50174","CDFW"
"50174","USBR"
"50208","CDFW"
"50208","USBR"
"50210","USBR"
"50214","CDFW"
"50214","USBR"
"50215","USBR"
"50211","USBR"
"50211","UC Davis"
"50216","USBR"
"50216","UC Davis"
"49782","DWR"
"49783","DWR"
"49821","CDFW"
"49821","DWR"
"49954","DWR"
"50084","CDFW"
"50100","CDFW"
"50100","DWR"
"50118","CDFW"
"50118","DWR"
"50138","DWR"
"50149","CDFW"
"50149","DWR"
"50151","DWR"
"50160","CDFW"
"50160","DWR"
"50161","CDFW"
"50161","DWR"
"50162","CDFW"
"50162","DWR"
"50193","CDFW"
"50193","DWR"
"49924","DWR"
"49924","USBR"
"49944","DWR"
"49944","USBR"
"49949","DWR"
"49949","USBR"
"49950","DWR"
"49950","USBR"
"49952","DWR"
"49952","USBR"
"50078","DWR"
"50078","USBR"
"50079","DWR"
"50079","USBR"
"50080","DWR"
"50080","USBR"
"50083","DWR"
"50083","USBR"
"50107","USBR"
"50109","USBR"
"50152","DWR"
"50152","USBR"
"50171","DWR"
"50171","USBR"
"50176","USBR"
"50178","DWR"
"50178","USBR"
"49875","DWR"
"49875","UC Davis"
"50140","DWR"
"50140","UC Davis"
"50154","DWR"
"50154","UC Davis"
"50172","DWR"
"50172","UC Davis"
"49785","CDFW"
"49785","SFEI"
"49786","CDFW"
"49786","SFEI"
"50077","SFEI"
"50112","CDFW"
"50112","SFEI"
"49799","CDFW"
"49799","UC Berkeley"
"49878","CDFW"
"49878","UC Berkeley"
"49873","NMFS"
"50084","NMFS"
"50087","CDFW"
"50087","NMFS"
"50094","CDFW"
"50094","NMFS"
"50164","NMFS"
"50210","NMFS"
"49873","UCSC"
"50210","UCSC"
"49880","NMFS"
"49880","UC Davis"
"49925","CDFW"
"49925","Central Valley Joint Ven..."
"49925","The Nature Conservancy"
"50099","CDFW"
"50099","The Nature Conservancy"
"50208","The Nature Conservancy"
"49925","USACE"
"50084","USACE"
"50147","USACE"
"50164","USACE"
"50208","USACE"
"49925","USDA"
"50074","CDFW"
"50074","USDA"
"49925","USFWS"
"49937","USFWS"
"50094","USFWS"
"50153","USFWS"
"50207","CDFW"
"50207","USFWS"
"50215","USFWS"
"49925","USGS"
"49937","USGS"
"50147","USGS"
"50148","USGS"
"50164","USGS"
"50174","USGS"
"50208","USGS"
"50210","USGS"
"49925","Point Blue Conservation..."
"49937","Point Blue Conservation..."
"50208","Point Blue Conservation..."
"49923","Central Valley Joint Ven..."
"49923","USFWS"
"49923","Point Blue Conservation..."
"49951","The Nature Conservancy"
"49951","USFWS"
"50175","The Nature Conservancy"
"50175","USGS"
"50175","Point Blue Conservation..."
"50156","USACE"
"50156","USFWS"
"50176","USACE"
"50156","USGS"
"50158","USACE"
"50158","USGS"
"50171","USACE"
"50171","USGS"
"50176","USGS"
"50198","USACE"
"50198","USGS"
"50187","USDA"
"50187","USFWS"
"50187","USGS"
"49941","USFWS"
"49941","USGS"
"50113","USFWS"
"50113","USGS"
"49937","BLM"
"49937","DoD"
"50139","BLM"
"50139","DoD"
"49941","BLM"
"50187","USBR"
"50213","USBR"
"50213","USFWS"
"49950","USGS"
"50083","USGS"
"50108","USBR"
"50108","USGS"
"50074","NASA"
"50074","PARKS"
"50118","PARKS"
"50173","PARKS"
"50173","USDA"
"49924","SFEI"
"49950","SFEI"
"50084","CalEPA"
"50084","SWRCB"
"50112","SWRCB"
"50145","SWRCB"
"50147","SWRCB"
"50148","SWRCB"
"50164","SWRCB"
"50084","Delta Stewardship Counci..."
"50210","Delta Stewardship Counci..."
"50084","USEPA"
"50147","USEPA"
"50148","USEPA"
"50164","USEPA"
"50084","East Bay Municipal Utili..."
"50116","CDFW"
"50116","East Bay Municipal Utili..."
"50141","East Bay Municipal Utili..."
"49924","SWRCB"
"49952","SWRCB"
"50126","DWR"
"50126","SWRCB"
"50140","SWRCB"
"50176","SWRCB"
"50107","NMFS"
"50109","NMFS"
"50176","NMFS"
"50096","DWR"
"50096","USACE"
"50097","DWR"
"50097","USACE"
"50158","DWR"
"50198","DWR"
"50199","DWR"
"50199","USACE"
"50176","USEPA"
"50144","SWRCB"
"50144","USEPA"
"50180","SWRCB"
"50180","USEPA"
"49923","SWRCB"
"49941","USEPA"
"50081","USEPA"
"50081","USFWS"
"50187","USEPA"
"50094","California State Coastal..."
"50087","PSMFC"
"50094","PSMFC"
"50137","CDFW"
"50137","PSMFC"
"50142","CDFW"
"50142","PSMFC"
"50214","PSMFC"
"50112","OEHHA"
"50112","SCCWRP"
"50135","CDFW"
"50135","SCCWRP"
"49923","SFEI"
"50118","CDFA"
